city,area,danChiName,nearestStationByWalk,bestCaseByWalk,worstCaseByWalk,nearestStationByBus,bestCaseByBus,worstCaseByBus,traffic,address,buildingName,room,roomType,floorSpace,floor,maxFloor,rent,commonFee,total,shikikin,systems,link
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-10号棟,503号室,3K,48,5,5,43400,3300,46700,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003100503
tokyo,hachioji,館ヶ丘,京王高尾線「高尾」駅,1,11,京王高尾線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-10号棟,503号室,3K,48,5,5,43400,3300,46700,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003100503
tokyo,hachioji,館ヶ丘,JR中央本線「高尾」駅,29,38,,,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-10号棟,503号室,3K,48,5,5,43400,3300,46700,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003100503
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,406号室,3K,48,4,5,44300,3300,47600,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030406
tokyo,hachioji,館ヶ丘,京王高尾線「高尾」駅,1,11,京王高尾線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,406号室,3K,48,4,5,44300,3300,47600,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030406
tokyo,hachioji,館ヶ丘,JR中央本線「高尾」駅,29,38,,,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,406号室,3K,48,4,5,44300,3300,47600,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030406
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,1-12号棟,417号室,2DK,42,4,5,50700,3300,54000,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=001120417
tokyo,hachioji,館ヶ丘,京王高尾線「高尾」駅,1,11,京王高尾線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,1-12号棟,417号室,2DK,42,4,5,50700,3300,54000,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=001120417
tokyo,hachioji,館ヶ丘,JR中央本線「高尾」駅,29,38,,,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,1-12号棟,417号室,2DK,42,4,5,50700,3300,54000,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=001120417
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-2号棟,410号室,3K,48,4,5,56200,3300,59500,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003020410
tokyo,hachioji,館ヶ丘,京王高尾線「高尾」駅,1,11,京王高尾線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-2号棟,410号室,3K,48,4,5,56200,3300,59500,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003020410
tokyo,hachioji,館ヶ丘,JR中央本線「高尾」駅,29,38,,,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-2号棟,410号室,3K,48,4,5,56200,3300,59500,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003020410
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,207号室,3K,48,2,5,56200,3300,59500,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030207
tokyo,hachioji,館ヶ丘,京王高尾線「高尾」駅,1,11,京王高尾線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,207号室,3K,48,2,5,56200,3300,59500,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030207
tokyo,hachioji,館ヶ丘,JR中央本線「高尾」駅,29,38,,,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,207号室,3K,48,2,5,56200,3300,59500,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030207
tokyo,nagayama,多摩ニュータウン　松が谷,多摩都市モノレール「松が谷」駅,5,8,,,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,27-3号棟,402号室,3DK,62,4,5,59200,3230,62430,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=027030402
tokyo,nagayama,多摩ニュータウン　松が谷,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,2,4,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,5,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,27-3号棟,402号室,3DK,62,4,5,59200,3230,62430,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=027030402
tokyo,nagayama,多摩ニュータウン　松が谷,多摩都市モノレール「松が谷」駅,5,8,,,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,30-4号棟,202号室,2DK,50,2,5,67100,4350,71450,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=030040202
tokyo,nagayama,多摩ニュータウン　松が谷,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,2,4,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,5,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,30-4号棟,202号室,2DK,50,2,5,67100,4350,71450,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=030040202
tokyo,nagayama,多摩ニュータウン　松が谷,多摩都市モノレール「松が谷」駅,5,8,,,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,30-6号棟,205号室,2DK,50,2,5,67100,4350,71450,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=030060205
tokyo,nagayama,多摩ニュータウン　松が谷,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,2,4,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,5,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,30-6号棟,205号室,2DK,50,2,5,67100,4350,71450,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=030060205
tokyo,nagayama,多摩ニュータウン　松が谷,多摩都市モノレール「松が谷」駅,5,8,,,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,30-5号棟,502号室,2DK,50,5,5,70200,4350,74550,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=030050502
tokyo,nagayama,多摩ニュータウン　松が谷,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,2,4,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,5,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,30-5号棟,502号室,2DK,50,5,5,70200,4350,74550,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=030050502
tokyo,nagayama,多摩ニュータウン　松が谷,多摩都市モノレール「松が谷」駅,5,8,,,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,30-5号棟,701号室,2DK,50,7,5,71000,4350,75350,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=030050701
tokyo,nagayama,多摩ニュータウン　松が谷,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,2,4,京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅,5,,多摩都市モノレール「松が谷」駅 徒歩5～8分<br>京王相模原線「京王多摩センター」駅・小田急多摩線「小田急多摩センター」駅・多摩都市モノレール「多摩センター」駅バス5分 徒歩2～4分,八王子市松が谷27ほか,30-5号棟,701号室,2DK,50,7,5,71000,4350,75350,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2720_room.html?JKSS=030050701
tokyo,hachioji,南原台,JR中央線「豊田」駅,3,7,JR中央線「豊田」駅,7,,JR中央線「豊田」駅バス7分 徒歩3～7分<br>JR中央線「八王子」駅バス9分 徒歩3～7分<br>JR八高線「北八王子」駅 徒歩9～12分,八王子市大和田町1-2ほか,12号棟,401号室,3DK,61,4,5,65300,5000,70300,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2990_room.html?JKSS=000120401
tokyo,hachioji,南原台,JR中央線「八王子」駅,3,7,JR中央線「八王子」駅,9,,JR中央線「豊田」駅バス7分 徒歩3～7分<br>JR中央線「八王子」駅バス9分 徒歩3～7分<br>JR八高線「北八王子」駅 徒歩9～12分,八王子市大和田町1-2ほか,12号棟,401号室,3DK,61,4,5,65300,5000,70300,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2990_room.html?JKSS=000120401
tokyo,hachioji,南原台,JR八高線「北八王子」駅,9,12,,,,JR中央線「豊田」駅バス7分 徒歩3～7分<br>JR中央線「八王子」駅バス9分 徒歩3～7分<br>JR八高線「北八王子」駅 徒歩9～12分,八王子市大和田町1-2ほか,12号棟,401号室,3DK,61,4,5,65300,5000,70300,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2990_room.html?JKSS=000120401
tokyo,hachioji,グリーンヒル寺田,京王高尾線「めじろ台」駅,1,7,京王高尾線「めじろ台」駅,5,,京王高尾線「めじろ台」駅バス5分 徒歩1～7分<br>JR中央線「西八王子」駅バス15分 徒歩1～7分<br>JR横浜線「八王子みなみ野」駅バス9分 徒歩1～7分,八王子市寺田町432,102号棟,403号室,3DK,67,4,5,66700,3500,70200,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3370_room.html?JKSS=001020403
tokyo,hachioji,グリーンヒル寺田,JR中央線「西八王子」駅,1,7,JR中央線「西八王子」駅,15,,京王高尾線「めじろ台」駅バス5分 徒歩1～7分<br>JR中央線「西八王子」駅バス15分 徒歩1～7分<br>JR横浜線「八王子みなみ野」駅バス9分 徒歩1～7分,八王子市寺田町432,102号棟,403号室,3DK,67,4,5,66700,3500,70200,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3370_room.html?JKSS=001020403
tokyo,hachioji,グリーンヒル寺田,JR横浜線「八王子みなみ野」駅,1,7,JR横浜線「八王子みなみ野」駅,9,,京王高尾線「めじろ台」駅バス5分 徒歩1～7分<br>JR中央線「西八王子」駅バス15分 徒歩1～7分<br>JR横浜線「八王子みなみ野」駅バス9分 徒歩1～7分,八王子市寺田町432,102号棟,403号室,3DK,67,4,5,66700,3500,70200,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3370_room.html?JKSS=001020403
